Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950
Y_N_c,2350,(-0.012219234210840887+0.02980397338831612j),(0.14379887653940446-0.09691639844145009j),(-0.04728142754229735-0.23523348587369758j),(-0.01620226101713644-0.29947667505989123j),(0.09318325714537373-0.7549814344713454j),(-0.35248443862932555-0.7317602230058535j),(-0.060216138863302904-1.144894289851668j),(-0.30545638059376046-0.5755335660586476j),(-0.1993584608212512-1.144141698611922j),(0.2949205600391153+0.23236158030484094j),(-0.08757366080663276-0.930328837840866j),(0.7942087953751836+0.4575055129584121j),(-0.09606758963943987-0.9015050479919811j),(0.3778946337570062-0.11349563008114918j),(-0.5382879592269357-0.18551766087647673j),(-0.7738083921647261-0.863450924390701j),(0.4111756464266327+0.5195845801776477j),(-2.1038180224013026-1.3775574846872223j),(2.5028889207676843+0.8912116789382634j),(-3.3775823414523236-1.980785098322205j),(4.384455383648688+0.7925328432417087j),(-4.880929697349957-1.786007722327797j),(5.342305671276379+0.36564946354655925j),(-5.635777940942956-0.7249325805703257j),(5.350912864574888-0.21234428669208305j),(-5.091547310839324+0.13090550028059567j),(4.42575713957391-1.036610775131063j),(-3.6717710861193593+0.49433443826310164j),(2.7550822386898695-1.348247307027533j),(-2.004264085950151+0.449084688544858j),(1.0933728700422416-0.9828653069679731j),(-0.5094106181538756+0.03140422777751631j),(-0.08949163561904035-0.38448914090052555j),(0.3211477714192372-0.5818464643377723j),(-0.6048779265254951+0.08282406600511348j),(0.48409692366565427-0.9450704398777718j),(-0.5601527017477206+0.2834322079337217j),(0.30223140151567635-0.927372183325684j),(-0.2270321395027172+0.09580128026326365j),(0.007694078496406798-0.6441574436216103j),(0.0007361473313809985-0.2415327106685172j),(-0.18943205767276083-0.32434287031627296j),(0.05937983563140506-0.4962308672757285j),(-0.1750916792376196-0.14852402716026597j),(0.018552461163636597-0.5738598109944063j),(-0.07715377937862325-0.1861658435377713j),(-0.06711054640759952-0.48091568465475826j),(-0.01752643199674908-0.3112442631938272j),(-0.12357740216770367-0.3299539645519532j),(-0.013288572358904974-0.4174641787569369j)
Y_N_c,2450,(0.0256305983566833-0.028844893173775952j),(-0.1657995080643112+0.1198761773964898j),(0.07587092731019598+0.17097624522761354j),(0.05990372994190585+0.4384995598270771j),(-0.14430554629871084+0.6001852770141037j),(0.2669947703061021+0.8493269209984294j),(-0.08206268980373116+1.0587455359965285j),(0.31930070113518116+0.8778548224077163j),(0.06265173338546098+1.1727556710399898j),(-0.0974775502829066+0.11009654400098426j),(0.013321075589853515+1.0250192773182618j),(-0.7434692248343513-0.42482276008335623j),(-0.09574221152917045+1.1262354471046767j),(-0.6870844068158475-0.11787433176890144j),(0.5483662541649748+0.6222618928519525j),(0.17942252332657263+0.57308033241831j),(0.2091539636899448-0.07674900467364991j),(1.4018675832352858+1.1634602927487316j),(-1.5837179771832286-0.6367907823613637j),(2.5222420752757686+1.9053676058536984j),(-3.625305718788192-0.786250020264196j),(4.136513938053132+2.155475220196448j),(-4.99732063766843-0.5387082380310839j),(5.39867618032123+1.2790120769859328j),(-5.476957071459895-0.05538652321289228j),(5.44757837959854+0.31346775680468064j),(-5.082392939264368+0.8167729448420639j),(4.403210354607293-0.27086662607563494j),(-3.6730790172671077+1.426396826664242j),(2.829668899865541-0.43600207386741796j),(-1.9319575499221007+1.3204332233082376j),(1.1518468102157948-0.2010957547299172j),(-0.4549842433720849+0.7794998720927585j),(-0.04559195379535756+0.397119575102368j),(0.4024113623489849+0.22657306490504564j),(-0.5094245122299841+0.9161649918804691j),(0.6158904356615867-0.1328484726366151j),(-0.47022053784524376+1.0874709277157761j),(0.34263568956279244-0.11601448156996506j),(-0.18361181910117397+0.901713241148997j),(0.048542237542460065+0.17340001856794074j),(0.0959018423831928+0.5820665983867888j),(-0.09193759766163229+0.4870939440511181j),(0.16404485492671522+0.3147912268628538j),(-0.09316248567210633+0.6655402424098734j),(0.07880886104618769+0.2553738270858013j),(-0.007925287221251659+0.6457835586200079j),(-0.005829274832854281+0.3436477291179232j),(0.08235726347967791+0.5069062435274617j),(-0.0353977149633069+0.4695091024350231j)
Y_N_c,2550,(-0.03381188219554466+0.019447489582972384j),(0.16683637726625108-0.1232885518928816j),(-0.10337817381615699-0.09836368867028593j),(-0.07440340471390333-0.5038509609976867j),(0.15500740679882496-0.39720150648418673j),(-0.12680851144841854-0.8000231628194151j),(0.19052794601183765-0.8721610206224936j),(-0.24044807023965015-0.9955399224886369j),(0.06667705543491698-1.0810950187056878j),(-0.04935329319671415-0.4096288059653048j),(0.06941522309815912-1.0024787161647035j),(0.6102922721251359+0.3395087343478306j),(0.30865228428900204-1.1450179202165602j),(0.8455801485555072+0.3254135953658228j),(-0.3579341759320377-0.8673683647980335j),(0.2833280291505296-0.23722707652440306j),(-0.5861425609048507-0.2881468014644669j),(-0.7742679524580832-0.8512053672172224j),(0.7539153107113861+0.3589431240921914j),(-1.7018080440041667-1.6142434260498535j),(2.7737318401406084+0.7271192825548439j),(-3.2504595781331456-2.262906845790425j),(4.448315118717379+0.6861764119378262j),(-4.876515480507666-1.6947280218282448j),(5.353156390125669+0.3515834797487529j),(-5.525256415791652-0.7388097148582289j),(5.514695596949566-0.43812844309732757j),(-4.968594238639123+0.007006803632263914j),(4.5151215062113295-1.2759835007323757j),(-3.6290850754175445+0.3756989985725179j),(2.8514967542527248-1.4757533367632385j),(-1.9069107975015+0.37160728169003504j),(1.172675457536481-1.0852303451359695j),(-0.3982777382734022-0.11164759525263984j),(-0.01925497140973839-0.5211238957741554j),(0.4091038995874555-0.7216185355210143j),(-0.5487385578461138-0.039196543885302165j),(0.5911448625483361-1.0834410313172083j),(-0.43202395296475066+0.1428111483496765j),(0.3842870777300119-1.0456669422344034j),(-0.1243863314743433-0.036942554363520175j),(0.061101367548579366-0.7826827932149137j),(0.09454781759475357-0.36331387802856147j),(-0.10366674935103948-0.4571490268915256j),(0.15952216850419762-0.6311287012268423j),(-0.06531562523421953-0.2894834550443643j),(0.1017070704109691-0.7067571161383529j),(0.026484583247333687-0.310121330277758j),(-0.006992922254806938-0.6146277278700245j),(0.0826544312997689-0.43022082843697484j)
Y_N_c,2650,(0.033016181168698415-0.006383722105528993j),(-0.14622352575756928+0.11183843529986345j),(0.1282828139134078+0.025755705280081212j),(0.06716208003834105+0.4923285412131419j),(-0.12082740332806532+0.17586743722365755j),(-0.019530105576458512+0.6124354420604705j),(-0.24542217004570052+0.618101888774152j),(0.11318750131603478+0.9249568777954316j),(-0.1620324319993443+0.8958574747218484j),(0.13577588062932433+0.6226757764603119j),(-0.13409243596614961+0.8846733562953916j),(-0.42705196465850026-0.21470530529189813j),(-0.47319575558527255+0.9907350043366389j),(-0.8635408034625842-0.4838628530269923j),(0.053807125218569285+0.9094548100174222j),(-0.5958604940295726-0.10382148068912864j),(0.7288235440766404+0.5302167206526237j),(0.2568032283695421+0.4796520980311855j),(-0.06833672716842892-0.09143816851639637j),(0.9960617293434678+1.1596657764158178j),(-1.8944839307113712-0.6173354577355133j),(2.330961128616419+2.1022076057800447j),(-3.735905555947701-0.7838999558477031j),(4.134518859334185+1.922955021829928j),(-4.9905620935963455-0.6340966206119742j),(5.31839866705785+1.0970414992035542j),(-5.667240740797025-0.04086225459415482j),(5.32011566984012+0.2754178463338546j),(-5.1834578460521215+0.9157854818006721j),(4.3407718351164455-0.2637273860755591j),(-3.762363296237002+1.42301837343523j),(2.730441547492495-0.5041165552720155j),(-2.0124780536984823+1.2613220880644604j),(1.0163763784772135-0.22386520059026982j),(-0.5370987230946683+0.7692667372417913j),(-0.13739736778579903+0.38888882481434045j),(0.33510001930427996+0.22326046472521738j),(-0.6076478591652986+0.9101228781974251j),(0.4706971290098905-0.15230569838729488j),(-0.5620322433117606+1.051986994984142j),(0.22470986478564522-0.13304957317750798j),(-0.25559936455534843+0.8999886435035955j),(-0.04769859045754255+0.14856483006259094j),(-0.0005643957169671754+0.5669638081276202j),(-0.18866313857992514+0.47445929694446737j),(0.03942243696502156+0.3010946126433785j),(-0.18656213817696118+0.6521621750569109j),(-0.033492773625391034+0.23100803855043886j),(-0.08415341702874721+0.6378057460226787j),(-0.10921873227840503+0.31491619481368344j)
Y_N_c,2750,(-0.023718752960348925-0.004361113330631484j),(0.10671229337724478-0.09137434362901382j),(-0.14811734630468706+0.039444629449158136j),(-0.04869187093879243-0.4121497345771687j),(0.046319895340447836+0.0344304524053191j),(0.13061998775418876-0.3388053661179464j),(0.23840460447864964-0.33418278022854425j),(0.014831319984064645-0.6977185133025842j),(0.20701304193887968-0.6511173475365453j),(-0.16664227735368414-0.7225400973702488j),(0.16320554586659566-0.7014021247914842j),(0.22559984746031486+0.0677847253539509j),(0.541952555079602-0.7216982312801884j),(0.7642904897761889+0.5742202795543958j),(0.2723005723076145-0.7742458907858745j),(0.7565602668968525+0.41018796863233337j),(-0.6746192141300473-0.6269225903857434j),(0.12997638358920086-0.09242609512975614j),(-0.4377162544371268-0.1345118812004713j),(-0.4584150512810501-0.616126864312425j),(1.0521758738692877+0.4657396431305875j),(-1.4810458812707226-1.7076932066719839j),(2.914789513124144+0.814083854145122j),(-3.2612204138511-1.9422013271361678j),(4.417677864752363+0.859773352711501j),(-4.858628516583623-1.3530671477745084j),(5.51160915249546+0.5414933363514789j),(-5.429710971310686-0.5520759589317445j),(5.597455910810405-0.3982271953092187j),(-4.906288022202394+0.10270020979574768j),(4.569738918996748-1.1661722044165128j),(-3.5613699109511643+0.5639846864620797j),(2.9044989378341906-1.28305442237242j),(-1.7870570611917218+0.5467857747940128j),(1.2390017013468706-0.942766678445287j),(-0.3312314435296716+0.029576319538934512j),(0.03673787556833363-0.40577227969235885j),(0.46867878947479913-0.5887818478593767j),(-0.4284563925624618+0.1226879773296018j),(0.663681852588186-0.9149813417080866j),(-0.33282585859705166+0.29283265076841614j),(0.4503579913448552-0.9164260197260182j),(-0.0551550371686684+0.1152445886151926j),(0.13666874816574118-0.6366721764767863j),(0.15791446843357237-0.22037987066053j),(-0.0011253120260588945-0.3051562931672014j),(0.23423462041371904-0.48753170960404546j),(0.023259929272370167-0.13545391676515878j),(0.16839474631566745-0.5714352256420367j),(0.10248842853823442-0.15344265159189358j)
Y_N_c,2850,(0.010077638972388323+0.0086567841444981j),(-0.05395602770889127+0.06767867405440293j),(0.15996641305023138-0.09162894785771183j),(0.029780317182518334+0.2810822912750141j),(0.056209108080084724-0.2087475142315267j),(-0.18090127222136912+0.04233836155567922j),(-0.17270061465382067+0.057420146165440326j),(-0.10445078516407447+0.37177903097381937j),(-0.19643446959701527+0.3832378053488296j),(0.15706847270338858+0.7025645301038744j),(-0.14949873830414118+0.48549517990785096j),(-0.03399590452956751+0.08178714483711245j),(-0.4965427229121981+0.4080042192736415j),(-0.5808361224359949-0.5865594430907589j),(-0.5406461497188788+0.5168691703912628j),(-0.7796158617012376-0.6477131675907601j),(0.48033033651136803+0.5806110437458264j),(-0.3813712470050317-0.26782410268654344j),(0.7503634741093956+0.29438014082109776j),(0.10966238604216019+0.06662858979867213j),(-0.30509958654044034-0.2871745538475736j),(0.783039404421016+1.1470560537398813j),(-2.048275258325631-0.7682377358434602j),(2.353925619403651+1.760063990806503j),(-3.6848049168684254-0.9952332446361438j),(4.1953809557601796+1.4815732165390878j),(-5.067024107142837-0.9859090751402948j),(5.283992981817629+0.7950258323054089j),(-5.7079114772925665-0.19982732649002544j),(5.27662240888204+0.09715677467963668j),(-5.186732643681609+0.7385913219641416j),(4.327845481889763-0.5279241792907268j),(-3.7681626859094726+1.1449260079534815j),(2.660181059231062-0.7940614297244364j),(-2.040534819632759+1.0201339667883973j),(0.994363676774097-0.4647647767274835j),(-0.5635591898234125+0.5696475735319936j),(-0.13927873933692292+0.1645122178301074j),(0.2735469894218552-0.0402947945141846j),(-0.6386559695090815+0.64876374661323j),(0.4173456306527601-0.39874337286924144j),(-0.6012385281091124+0.8257299138372383j),(0.20309782237317608-0.37530018803559184j),(-0.28612888103043926+0.6594874335263206j),(-0.057287102211544705-0.08879024057203308j),(-0.051557741431653314+0.31409829969022857j),(-0.22189755868218564+0.2354001830762789j),(-0.0009197177148725366+0.05463254246295647j),(-0.2225673226796191+0.42181436677041007j),(-0.06021401757631088-0.015664855478452738j)
Y_N_c,2950,(0.0024135748334648526-0.0059985941285030115j),(-0.004482696546767671-0.045455495486596297j),(-0.1611097026673086+0.12749452825406277j),(-0.018997678109036194-0.123164661448605j),(-0.16917976486123598+0.3296611732376576j),(0.16444165991715676+0.21663158980587677j),(0.061500313214627254+0.18048777528325075j),(0.13327636806875387-0.018063998438867693j),(0.13558688185410545-0.12603179743090295j),(-0.12687278125143775-0.5758134155962491j),(0.09547565470809836-0.26818648585743154j),(-0.12599097027796904-0.21487069319761534j),(0.34795559419725697-0.116850713612368j),(0.35132233471751995+0.5214903076675547j),(0.6963309526889109-0.2090353286465509j),(0.6919409118202533+0.7922650416969225j),(-0.21126591185203122-0.4167805149889336j),(0.5071164366432102+0.5646435889063306j),(-0.8764239496352249-0.37346548210410546j),(0.061979403581883974+0.411901864446056j),(-0.30024466279679035+0.10085509610420658j),(-0.2873319512315619-0.5089357894462208j),(1.201775639748884+0.6487003968133155j),(-1.5050843599869297-1.410972336199736j),(2.856156781597424+1.0211946827948757j),(-3.39723090546089-1.4737743498383304j),(4.382001376703344+1.303549217513423j),(-4.90179209118798-0.983059635174178j),(5.4966383592815475+0.7862367109655297j),(-5.419369886093366-0.31940256910481724j),(5.546512697167182-0.19819302586185472j),(-4.956006604188511+0.38917033916268684j),(4.521906989439255-0.8616355173158651j),(-3.5614817138176+0.9141157498076431j),(2.8816416536464953-0.989442001719511j),(-1.8182786535079336+0.8426776257901526j),(1.2255019813327943-0.6958721287331695j),(-0.39160382117527887+0.30029637834636835j),(0.02131363859018322-0.09585979565379535j),(0.44719748259220743-0.28587302049593477j),(-0.4358376811301937+0.41655922243115695j),(0.6628628122957874-0.6342913740539339j),(-0.36670465054644996+0.5775060118176802j),(0.4243475562582666-0.6296806659482712j),(-0.10614785371928123+0.39991407748525837j),(0.12026756250868292-0.3337190679241153j),(0.13763252516665833+0.06754704458356042j),(-0.020922643023099305-0.014472625095398824j),(0.2272075475875621-0.20616581028343184j),(-0.00827611273557282+0.15283074823544573j)
Y_N_c,3050,(-0.009662460873101499-0.0007756365973856155j),(0.06039288199278429+0.02768319821540406j),(0.1496762751469952-0.14617583676426327j),(0.02095853681036222-0.035409710596088266j),(0.2729695374792208-0.38903747764805374j),(-0.0935642313882642-0.39260203127139337j),(0.07501476143696369-0.35673232320498544j),(-0.09893994320083677-0.29438436232330834j),(-0.03802167035044439-0.09318680871561295j),(0.09505808740475864+0.3715005518252392j),(-0.011478096027688341+0.07528913027770293j),(0.24038108517348322+0.3150344085941106j),(-0.13070594586723633-0.10009858167257672j),(-0.1140714799811598-0.3900491581434388j),(-0.7161064810258815-0.07610505779561327j),(-0.5287122085025489-0.8324854804028551j),(-0.06958268564320233+0.17853006451220466j),(-0.5283067321888734-0.771796569389516j),(0.8403931448199391+0.3686079077129963j),(-0.09488782963497264-0.7612557797333535j),(0.73326620458339+0.07204942360490077j),(0.007231824611766885-0.11252469613988947j),(-0.4360761400458047-0.46850338519161455j),(0.7901326784636448+0.9498898563565412j),(-2.001828365203005-0.9351342732687715j),(2.5417086048407507+1.3372841672483016j),(-3.534533159971139-1.4470000448443687j),(4.316217336157106+1.0970678160766496j),(-4.995144892619093-1.2756849444122613j),(5.314374910563066+0.5397276821575174j),(-5.613268480953595-0.38194229710152583j),(5.38003299576866-0.159558774892276j),(-5.093145298275174+0.46629172406462494j),(4.401761149460901-0.8768187383656538j),(-3.694093477802776+0.8501472044764594j),(2.7398893740688535-1.0970310098895517j),(-1.9861318593603872+0.765922848247275j),(1.1066986327883652-0.7354330789280067j),(-0.4721125691820431+0.2722230065832346j),(-0.0675190407384396-0.12683027090374904j),(0.341852183534788-0.329264488792378j),(-0.5948847636601452+0.3609787756505114j),(0.5009593783491615-0.6766601478340017j),(-0.5218858486303781+0.543556806504012j),(0.30688484685657097-0.6577506437007872j),(-0.20304742562323086+0.36089353692485904j),(0.015629521676472607-0.37561823285814194j),(0.025917473715264858+0.0294532860184021j),(-0.17046593483743416-0.04912635573973893j),(0.08373060079841264-0.22543813681998254j)
Y_N_c,3150,(0.010651585767805586+0.007416074407818201j),(-0.1062214874950636-0.01540014830221497j),(-0.12517830701460275+0.14900842489599433j),(-0.0356278655301303+0.17054129636050053j),(-0.3493386539867878+0.38830296364413075j),(-0.006709254711144863+0.4626014326150642j),(-0.2134602634506394+0.45941137008777794j),(0.017185212780578413+0.5116555344772697j),(-0.07764751635239502+0.25620691663517j),(-0.07541801044548838-0.12896018555752536j),(-0.08720800586729419+0.07537671880212449j),(-0.303389948391457-0.3705786864489427j),(-0.10740563038265133+0.21486974752230487j),(-0.09710283095725206+0.21204792786308613j),(0.6083912992670681+0.27831273344166507j),(0.3282160735608095+0.770661686400346j),(0.3105947056389693+0.08170667035618553j),(0.47323476155560545+0.8756495947389773j),(-0.6796802660178076-0.28825519998685345j),(0.04361698921995438+0.9503375407976162j),(-0.9815770671346924-0.21128603019103742j),(0.0794881283205906+0.6332827780843718j),(-0.19878184172300478+0.24959467470765095j),(-0.2585945402993517-0.44312640241836165j),(1.189304504903654+0.751102268428339j),(-1.706033266314084-1.094539914942864j),(2.6180120836548646+1.3989684323051252j),(-3.579292275059028-1.1260916193448083j),(4.263451164642193+1.596695726962737j),(-4.97284483655216-0.7358667461646704j),(5.378594543830721+0.9212005476835889j),(-5.553507506090281-0.132645916155542j),(5.427133293327396-0.006091378974379058j),(-5.089482415075296+0.6795623223189604j),(4.408621189332524-0.613621550572516j),(-3.6738900158583974+1.180814148383549j),(2.794572227493634-0.7646858876480549j),(-1.9602998065507562+1.0737692131741112j),(1.0773567557462669-0.4620845245486143j),(-0.4992795085492329+0.5344445881162387j),(-0.09413784111528489+0.1415718275372194j),(0.3680406825323959-0.03535737516443678j),(-0.551892114828141+0.6452856085513925j),(0.5467109602583224-0.40099341277343037j),(-0.5031030074679286+0.8142858189517712j),(0.2911065110987495-0.38375117189831726j),(-0.21849993890341665+0.6408236046765793j),(0.0006085792353460739-0.09884201174543597j),(0.05117087252926433+0.31150826845571383j),(-0.14130912163559387+0.2146207665263053j)
Y_N_c,3250,(-0.007329245029407292-0.01062194487044469j),(0.13620860589846107+0.007907513881989382j),(0.08881662158131493-0.138995569209432j),(0.058733516940594296-0.263899759418924j),(0.3844859287055995-0.3372798306404864j),(0.10655975198153336-0.4283613611504604j),(0.3312149383476465-0.48784242191340826j),(0.0842139297786392-0.6040635972911144j),(0.19134245369491248-0.3549612823926632j),(0.07401238029739292-0.10965679236562292j),(0.1836586948260028-0.17508292516668433j),(0.31679698316814153+0.37592800885802313j),(0.31733972655639214-0.22556740305121706j),(0.2566818252859367-0.013149961107559074j),(-0.4071690898974919-0.3610266413137381j),(-0.1267501622418985-0.62169355741532j),(-0.47752820840467924-0.3116043626881981j),(-0.37281583974221905-0.8757241783877956j),(0.4388454163539984+0.1509013235627639j),(0.033632966331155145-0.9779433734338978j),(1.051214583249459+0.3004167412854688j),(-0.022998278781923454-0.9923809718192814j),(0.6682481046183993-0.019698558903764235j),(-0.07036605779700661-0.04214297092944451j),(-0.47580506065153966-0.4968425505589098j),(0.9583749570009947+0.7792722914924861j),(-1.7266529334252785-1.1743424571502465j),(2.754805777712592+1.0680842531259507j),(-3.38851872033275-1.7064666966369275j),(4.42028225047841+0.8838886645962833j),(-4.878517406438358-1.3500239973522472j),(5.4482810765156335+0.4442136242761099j),(-5.495275971922437-0.4645801834590877j),(5.544601056365215-0.348218068896591j),(-4.96238267479171+0.30226398681577127j),(4.524088445977151-1.0746154700459178j),(-3.5896777318613617+0.6833738841759044j),(2.8826525350504317-1.2618180064364992j),(-1.8140024383725624+0.6300723551650937j),(1.2273558535244404-0.8815970915993874j),(-0.3336931059087379+0.11983145421904318j),(0.0308585598864385-0.3055376012224753j),(0.4659231282103237-0.4794245936844738j),(-0.4675144665464915+0.2071689244040535j),(0.6421474918021776-0.8370930179978535j),(-0.36668077529720394+0.3843936709148129j),(0.4362945877286928-0.8201454636396588j),(-0.06578294315751294+0.2062627303983629j),(0.11946473969633334-0.546165238781726j),(0.15679642231613333-0.1194826860029658j)
Y_N_c,3350,(0.003021477627625932+0.009543135340780641j),(-0.14717589140830772-0.0032995234499496595j),(-0.04349383976366187+0.12009146239412338j),(-0.08311876427132907+0.3054387664098937j),(-0.3712564912488217+0.25186011272584496j),(-0.17943599876897465+0.3130122383481352j),(-0.4099470511488702+0.4512822627622478j),(-0.17384158907825628+0.5695749134625304j),(-0.2849265232029411+0.391036198913828j),(-0.08880774653227917+0.3066239937842993j),(-0.26246365128966764+0.22384060910116998j),(-0.2884618126205945-0.3322038100826286j),(-0.4598998308992345+0.15305270732961865j),(-0.34985271610273966-0.17886942771827458j),(0.1615923094762212+0.316628683298836j),(-0.0457284935487014+0.4104031375689917j),(0.5558494085910571+0.46788124797848324j),(0.25626873188257127+0.783500862159844j),(-0.16364429893850307+0.017845678859025806j),(-0.08703357871437978+0.8697427436917415j),(-0.9648095425791319-0.3292965105468808j),(-0.11049412027189842+1.1601316439297504j),(-0.9560778384784574-0.19170282113776754j),(0.20752415154358314+0.44789785302940677j),(-0.09743794092527794+0.20884087587689246j),(-0.350742647383772-0.43157566203335884j),(0.9414630248397939+0.8163264964590271j),(-1.9115915357783237-0.930344353821767j),(2.4689017631833097+1.596366569125511j),(-3.702473404867597-0.9651225095944205j),(4.171349893950758+1.613433621754557j),(-5.075739613638078-0.7309196344253559j),(5.289804870025014+0.8881353975610855j),(-5.712927759579209-0.06788853292575059j),(5.305870060822487+0.0527603762194766j),(-5.197109466985812+0.7901998734831245j),(4.30591896154532-0.5218767423475226j),(-3.788292319625157+1.268216677205864j),(2.636683706255684-0.7389385925649015j),(-2.0677223995787144+1.1202027216426875j),(0.9450278283767185-0.41049673112578583j),(-0.5957230305003163+0.6215146723335904j),(-0.20030455009197928+0.2002367201461285j),(0.25790885635043265+0.0260527235228519j),(-0.6686193512681564+0.7152671336225209j),(0.40291536681344975-0.343605702085099j),(-0.622960525373387+0.8822506508334612j),(0.16431916669446023-0.32279238138392413j),(-0.3178495072632933+0.7204066244604377j),(-0.1134404056370967-0.04215181822719893j)
Y_N_c,3450,(-0.0004109996928293603-0.0057515596737092115j),(0.13886058641048601-0.0008202639143391061j),(-0.0064747563754856685-0.09643634127265599j),(0.10068528319214369-0.29438372482949904j),(0.3101813571573536-0.15095760770308372j),(0.20831551029336964-0.15355547100491718j),(0.43819845096237087-0.3663874654541099j),(0.22511959537169907-0.43134588210201585j),(0.34491668793061164-0.37390216896582684j),(0.11130942318016515-0.43457211864927214j),(0.3122399242507867-0.22883160388624932j),(0.23027030624287625+0.24690371564421554j),(0.5135193713779557-0.03319809902850479j),(0.3732877580068247+0.33810242211017744j),(0.07618790356445516-0.1655092429694608j),(0.1686714571916832-0.16765676410463431j),(-0.5494428077200517-0.523200817748687j),(-0.14762026176054743-0.6197944448726891j),(-0.10435735081722675-0.18911377531676582j),(0.0842598565110094-0.6704532309161084j),(0.7579756407906288+0.29573010909291564j),(0.2525214181763902-1.1403046835461552j),(1.0649161408954402+0.3576496859862148j),(-0.18869125414308446-0.733223972792755j),(0.5082609430729829+0.07373769448138298j),(-0.08567186700855756+0.09232556833320911j),(-0.31926552733582014-0.3875645975742559j),(1.116362675518928+0.7287703963127793j),(-1.599768697016374-1.292193752355083j),(2.8791927589095456+0.9683194760808432j),(-3.3371615434898847-1.6820100499638992j),(4.469233581845974+0.9490442337853555j),(-4.8410003539814195-1.21761314527594j),(5.566434701398446+0.5016774316200618j),(-5.410180834561103-0.4155447230412672j),(5.616187776366186-0.36867658395241687j),(-4.880343846806425+0.29002564570921585j),(4.587121368038182-1.0887322551373717j),(-3.4808481764342405+0.7572747844369272j),(2.9531754121323934-1.2162700307828833j),(-1.7154497615768276+0.6761688322989812j),(1.3002837346712262-0.8741033507105708j),(-0.26725833561706897+0.14899516117323866j),(0.0989709881403363-0.2796408868530372j),(0.5338092103956507-0.4618645909935366j),(-0.36628577369550236+0.24650284115046708j),(0.7273008345423233-0.812585896827146j),(-0.2759870192150712+0.41303525904726573j),(0.5098784565603759-0.807997811882757j),(0.007942269296061788+0.23670096071733582j)
Y_N_c,3550,(0.00022400057759980308+0.0019149832465922396j),(-0.11376919019968557+0.006600029165912142j),(0.055907504695176385+0.07167608783271724j),(-0.1044734213853877+0.2386044177671101j),(-0.20923141747545929+0.053261636866278605j),(-0.18885560575413357-0.008814187986865563j),(-0.41270605500027513+0.25390663830091315j),(-0.22284495419577144+0.23038696246790888j),(-0.3641558690758781+0.318280199988464j),(-0.12961582837731417+0.48017637527005635j),(-0.3271756643639509+0.2020180976329826j),(-0.15584518113752938-0.13273750284687771j),(-0.4773530183462187-0.0931436859226295j),(-0.3342817764295495-0.44412763828746027j),(-0.2623175501217295-0.0504652796212471j),(-0.23240678104365006-0.07408603180189172j),(0.4763837123955945+0.4699381873293932j),(0.0634260843901947+0.41119224697715645j),(0.3319821286630418+0.3349586837267915j),(-0.015096641905572888+0.43311282935556467j),(-0.4744174110318525-0.20602205410785362j),(-0.34534119582837863+0.9662904633086584j),(-1.014658496964144-0.45759616637824646j),(0.06642020535434287+0.8790076052176949j),(-0.7537846060165005-0.3151216484778503j),(0.34223613457635244+0.20223474518171058j),(-0.11338989547895817-0.04188102120890589j),(-0.42693926678353195-0.4859932903942215j),(0.85920907543242+0.848583704557262j),(-2.0180042354161367-0.8915381832379525j),(2.464430804604408+1.5547075631121756j),(-3.6881362358281944-1.0663578030110317j),(4.196065951812512+1.416335392195672j),(-5.124712963944071-0.8864363552669865j),(5.261586507362876+0.7464555154359684j),(-5.734495206168623-0.12703196878277545j),(5.259752425143646-0.0074065292639347025j),(-5.196536283845349+0.7469669351073611j),(4.269655803157924-0.6665446882397211j),(-3.8059355508180044+1.1547440704099514j),(2.5925232365990056-0.8629909529568132j),(-2.0997220509769448+1.0313741165276273j),(0.9316766261286258-0.5099965142650336j),(-0.6061720562088846+0.5282531550970544j),(-0.20490617973254077+0.11236506054198661j),(0.2214967667979298-0.08778014946116858j),(-0.7006304395296663+0.6160278747561378j),(0.36633393904160144-0.4429724613451541j),(-0.654557237490879+0.7928802842044013j),(0.14579464210123055-0.42102628720710583j)
